config,seed,epochs,test_acc,test_macro_auc,final_loss,fit_s,dense_macs,synops,active,kp_cos,conn_density,noise_acc,spike
base3,0,30,0.9638,0.9963825934532611,0.050634571075439457,249.53358364105225,52544,46924.373498916626,"[0.4579906165599823, 0.30749061703681946]","[0.9999997615814209, 0.9999998211860657]",,,
base3,1,30,0.9621,0.9950703541519987,0.048842938391367594,250.2292618751526,52544,46950.51991081238,"[0.4724234342575073, 0.29682812094688416]","[0.9999998807907104, 0.9999998211860657]",,,
base3,2,30,0.9624,0.995911351714132,0.05032769714991252,250.13199043273926,52544,46975.25591850281,"[0.4783843755722046, 0.33597812056541443]","[0.9999996423721313, 0.9999997615814209]",,,
base3_w_e3,0,30,0.9712,0.9980184192783316,0.03462300987641017,640.5829329490662,234752,199313.2672958374,"[0.46598124504089355, 0.3843335807323456]","[1.0000004768371582, 0.9999997615814209]",,,
base3_w_e3,1,30,0.9711,0.9978332293730116,0.036090262830257416,641.5420968532562,234752,199486.94623565674,"[0.47165000438690186, 0.3749000132083893]","[1.0000009536743164, 0.9999998807907104]",,,
base3_w_e3,2,30,0.9718,0.9981595803003944,0.03468549239635468,639.8111488819122,234752,199779.3154144287,"[0.4802277386188507, 0.3837234377861023]","[1.000001072883606, 0.9999998211860657]",,,
base3_w,0,30,0.9687,0.9964193275995695,0.05053305185635885,870.4685111045837,234752,197814.70574188232,"[0.4215242266654968, 0.35168203711509705]","[1.0000019073486328, 0.9999997019767761]",,,
base3_w,1,30,0.9685,0.996718589544581,0.05302568147182465,844.7351648807526,234752,199044.08264923096,"[0.45946913957595825, 0.34074297547340393]","[1.0000020265579224, 0.9999998211860657]",,,
base3_w,2,30,0.9654,0.996939414416404,0.051493376155694326,831.1513454914093,234752,198586.76652526855,"[0.4452226459980011, 0.3481749892234802]","[1.000002384185791, 0.9999995827674866]",,,
bd_transport,0,30,0.9646,0.9967998700477771,0.01469031452735265,245.47464990615845,52544,46868.51830101013,"[0.4106453061103821, 0.4359531104564667]",,,,
bd_transport,1,30,0.9654,0.996895783990678,0.015945691573619844,245.51672172546387,52544,46800.73874282837,"[0.37860938906669617, 0.4291718602180481]",,,,
bd_transport,2,30,0.9642,0.9970864520922109,0.015761793925364812,245.08224940299988,52544,46855.13194274902,"[0.39822813868522644, 0.473590612411499]",,,,
c4_d10_dist_regrow,0,30,0.9549,0.992395961917875,0.037724871881802874,1093.3191831111908,234752,18817.65876493638,"[0.1015625, 0.1015625]","[0.9975641965866089, 1.0]","[0.09999800473451614, 0.100006103515625]",,
c4_d10_dist_regrow,1,30,0.9508,0.9930660310310803,0.03956147379875183,1074.7406659126282,234752,18817.65876493638,"[0.1015625, 0.1015625]","[0.9977687001228333, 0.9999999403953552]","[0.09999800473451614, 0.100006103515625]",,
c4_d10_dist_regrow,2,30,0.9545,0.993893474083525,0.0360733474055926,1067.7291948795319,234752,18817.65876493638,"[0.1015625, 0.1015625]","[0.998042643070221, 1.0]","[0.09999800473451614, 0.100006103515625]",,
c4_d10_dist,0,30,0.9436,0.9908515739253417,0.04358792595863342,1102.1180181503296,234752,18817.65876493638,"[0.1015625, 0.1015625]","[1.0, 1.0]","[0.09999800473451614, 0.100006103515625]",,
