config,seeds,acc,acc_sd,auc,synops,dense,fit_min,synops_frac
mlp_bp,3,0.9753333333333334,0.0014294521094927657,0.9984458571329036,,52544,0.595752481619517,
pc_tanh,3,0.9507666666666666,0.003066485501895166,0.9956925993300899,48256.01171875,52544,3.7180042015181645,0.9183924276558694
control,3,0.9697999999999999,0.0010816653826391776,0.9980489796605946,46819.200459480286,52544,3.680778413348728,0.8910475117897435
bd_transport,3,0.9647333333333333,0.0006110100926608143,0.9969273687102221,46841.462995529175,52544,4.08929789463679,0.8914712050001746
base3,3,0.9627666666666667,0.0009073771725877507,0.9957880997731307,46950.04977607727,52544,4.166082421938579,0.8935377926324085
v2_full,3,0.9356,0.009750897394599129,0.9867083700231488,46470.602322260536,52544,8.2652836004893,0.8844131075338866
v2_s10,3,0.8727,0.028692681993846406,0.9535704368883925,46109.06605132421,52544,8.340957241588168,0.877532469003582
kwta_only,3,0.9561999999999999,0.0009165151389911821,0.994164673494255,46464.40979035696,52544,8.065313152472179,0.8842952533183038
v3_sleep25,3,0.6046333333333332,0.30793684958662115,0.8813939808510659,46450.386585474014,52544,8.653865149286057,0.8840283683289055
mlp_bp_w,3,0.9770666666666666,0.0005686240703077474,0.9988002471246865,,234752,1.090465357568529,
control_w,3,0.9716333333333335,0.00040414518843269356,0.9984769683223532,188582.86697387695,234752,12.956558684508005,0.8033280524718722
base3_w,3,0.9675333333333334,0.001850225211517044,0.9966924438535182,198481.85163879395,234752,14.14641678598192,0.8454958920000424
kwta25_w,3,0.8482666666666666,0.027662308893751625,0.8966693115413666,191756.63087503114,234752,24.010452481110892,0.816847698315802
kwta10_w,3,0.41769999999999996,0.18456009861289085,0.6724676763880538,186887.56720832983,234752,23.162811734941272,0.7961063897574028
guard25,3,0.9573666666666667,0.0013428824718988755,0.9942688505061347,46459.16765848795,52544,10.61578315893809,0.8841954868013084
guard05_w,3,0.8465666666666666,0.14875450693452397,0.9223673309996195,185259.60654147467,234752,22.1528525935279,0.7891715791195588
guard02_w,3,0.9099666666666666,0.007317331025266892,0.9745397338759023,184222.046875,234752,21.8730595641666,0.7847517672905875
control_w_e3,3,0.9783666666666666,0.000642910050732872,0.9993019353745981,199523.5757001241,234752,9.987571856710646,0.8499334433790728
base3_w_e3,3,0.9713666666666666,0.00037859388972005597,0.9980037429839125,199526.50964864096,234752,10.677423214912414,0.8499459414558383
kwta25_w_e3,3,0.9732666666666666,0.0008144527815246976,0.9982523507853068,191977.0890223185,234752,21.946542468335895,0.8177868091531425
kwta10_w_e3,3,0.9699666666666666,0.001662327685305595,0.9960495395177406,187005.90687624612,234752,21.098971030447217,0.7966104948040746
kwta05_w_e3,3,0.9592666666666666,0.0005686240703077474,0.988942202939744,185276.046875,234752,19.8056325091256,0.7892416118925505
kwta02_w_e3,3,0.9417666666666666,0.0020647840887931105,0.9810985689495242,184222.046875,234752,18.84001179006365,0.7847517672905875
guard05_w_e3,3,0.9608,0.0013114877048604123,0.9885837390098935,185276.047208786,234752,19.31586851941215,0.789241613314417
guard02_w_e3,3,0.9316333333333334,0.0021361959960016523,0.9805498427487697,184222.046875,234752,18.555108971065945,0.7847517672905875
s4_dense,3,0.9787,0.0008888194417315359,0.9992183285938022,199513.06353251138,234752,7.238433603445689,0.8498886634938633
s4_kwta25,3,0.9738333333333333,0.0007637626158259982,0.9982600311631254,191980.38927841187,234752,18.026045944955616,0.8178008676322752
s4_kwta10,3,0.9709333333333333,0.00040414518843270955,0.9968224899617395,187006.6335442861,234752,16.737620513969,0.7966135902752101
s4_kwta05,3,0.9608666666666666,0.0014977761292440349,0.989339168253999,185276.046875,234752,16.564859610133702,0.7892416118925505
r4_T1,3,0.1795,0.06752873462460257,0.7495801424665741,187010.05187543234,234752,2.562116293112437,0.7966281517321784
r4_T3,3,0.9682000000000001,0.0009848857801796373,0.9962331850515268,187010.05110677084,234752,4.0230088445875385,0.7966281484578229
r4_T5,3,0.9704333333333333,0.0012897028081435287,0.9971309555885742,187004.37054189047,234752,5.500677282280392,0.7966039503045361
r4_T10,3,0.9716666666666667,0.0010066445913694327,0.9977448739116609,187003.13987286887,234752,9.192505408657922,0.7965987078826543
c4_d30_dist,3,0.9644,0.0012489995996797488,0.99566775799928,56193.78963618353,234752,17.79428229861789,0.23937512624464768
c4_d30_rand,3,0.9536000000000001,0.0002645751311064299,0.993785798003375,56193.78963618353,234752,17.797225226296316,0.23937512624464768
c4_d10_dist,3,0.9420999999999999,0.0015524174696260253,0.9910807127496682,18817.65876493638,234752,18.006350219249725,0.08015973778684049
c4_d10_rand,3,0.9252666666666666,0.0027754879450888038,0.9867061132971631,18817.65876493638,234752,17.555885554684533,0.08015973778684049
c4_d10_dist_regrow,3,0.9533999999999999,0.002260530911091463,0.9931184890108268,18817.65876493638,234752,17.976605799463062,0.08015973778684049
v5_base,3,0.9648333333333333,0.002335237318418218,0.9960550255217587,56193.78963618353,234752,5.92691156996621,0.23937512624464768
v5_regrow,3,0.9531999999999999,0.0031749015732775105,0.9932274300492896,18817.65876493638,234752,5.961549475457933,0.08015973778684049
mlp_bp_w5,3,0.9768333333333333,0.002112660250332101,0.9988842731731259,,234752,0.8141593284077114,
v5_sgd01,3,0.9356,0.006309516621738928,0.9893835888988752,56193.78963618353,234752,5.947910685009427,0.23937512624464768
v5_sgd02,3,0.9516333333333334,0.0031628046625318705,0.9929988158751595,56193.78963618353,234752,6.146262833807203,0.23937512624464768
v5_bgate,3,0.9625666666666666,0.0005773502691896262,0.9944056498630861,56193.78963618353,234752,6.114493514431847,0.23937512624464768
v5_bbase,3,0.9617666666666667,0.00020816659994659034,0.9959716960944213,56193.78963618353,234752,5.8034698552555515,0.23937512624464768
v5_burst,3,0.9628666666666666,0.0023586719427112265,0.9939014439338335,56193.78963618353,234752,6.228569867875842,0.23937512624464768
v5_dream,3,0.9529333333333333,0.0023158871590242707,0.9888431384330253,56193.78963618353,234752,6.2628488355212735,0.23937512624464768
v5_dream_strong,3,0.8932333333333333,0.007404278042681413,0.9740517075599388,56193.78963618353,234752,6.203457954194811,0.23937512624464768
v6_base,3,0.9628666666666666,0.0023586719427112265,0.9939014439338335,56193.78963618353,234752,5.879429198635949,0.23937512624464768
v6_sweep,3,0.9651,0.0009539392014169541,0.9965934081524631,56193.78963618353,234752,1.7885181479983858,0.23937512624464768
v6_mult,3,0.7879999999999999,0.01943373355791418,0.9561914811163938,56193.78996996954,234752,5.22422639131546,0.2393751276665142
v6_sweep_mult,3,0.9091,0.011483901775964466,0.986736326521599,56193.78963618353,234752,1.6786341614193387,0.23937512624464768
v6_spiketrain8,3,0.8005,0.00783517708797956,0.9667530040255853,56193.78963618353,234752,10.532090156608158,0.23937512624464768
v6_spiketrain16,3,0.8576666666666667,0.009579317999384515,0.9733303475644797,56193.78963618353,234752,11.167819592687819,0.23937512624464768
v6_mirror,3,0.9634333333333333,0.0021501937897160034,0.9944457309943141,56193.76863627508,234752,5.195815749963125,0.2393750367889308
v6_mirror_d3,3,0.9612666666666666,0.0018009256878986594,0.9943629760033071,56193.78963618353,234752,5.1585299121008985,0.23937512624464768
v6_nokp,3,0.9625666666666666,0.001078579312490888,0.9937906499532234,56193.78963618353,234752,5.087919456428952,0.23937512624464768
v6_sgd03_cos,3,0.9336333333333333,0.0031628046625318635,0.9901657252245134,56193.78963618353,234752,6.174643743038177,0.23937512624464768
v6_sgd05_cos,3,0.9444,0.0018000000000000238,0.9924868011572107,56193.78963618353,234752,5.998393789927165,0.23937512624464768
