config,seed,model,buffer,policy,replay,static,final_acc,forgetting,buffer_classes,fit_s,dream_judge_acc,dream_self_acc,recon_mse,judge_test_acc,run_args,omp_threads,schedule,replay_used,hidden,active_frac,asleep_frac,overlap,overlap_in,dim,synops,eff_frac,gate,theta,rest_frac,ach_frac,gate_signal,kp_eff,drift,drift_p99,drift_n,sleeps,rem_used,early_sleeps,sleep_log
b0_only_200,0,ctx,200,random,nrem,False,0.8472,0.11529500838784659,"[24, 21, 20, 17, 26, 15, 14, 23, 21, 19]",37.93691563606262,0.9490000009536743,0.949999988079071,0.5417135953903198,0.9732000231742859,,,,,,,,,,,,,,,,,,,,,,,,,
b0_only_200,1,ctx,200,random,nrem,False,0.8731,0.11878105197689495,"[9, 14, 17, 27, 19, 22, 26, 19, 19, 28]",37.93626546859741,0.9610000252723694,0.984000027179718,0.5400754809379578,0.9732999801635742,,,,,,,,,,,,,,,,,,,,,,,,,
b0_only_200,2,ctx,200,random,nrem,False,0.8017,0.20390658082039442,"[23, 21, 21, 19, 21, 24, 12, 20, 18, 21]",37.828701972961426,0.949999988079071,0.8999999761581421,0.5297942161560059,0.972000002861023,,,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000_ce,0,bp,1000,random,agem,False,0.2521,0.9267570363906825,"[106, 110, 95, 91, 105, 80, 114, 87, 96, 116]",30.966668844223022,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000_ce,1,bp,1000,random,agem,False,0.3888,0.7616033175130027,"[92, 119, 95, 92, 100, 101, 102, 101, 83, 115]",30.52344012260437,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000_ce,2,bp,1000,random,agem,False,0.6419,0.44888745049069295,"[107, 116, 94, 112, 88, 79, 107, 95, 87, 115]",30.737832069396973,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000,0,bp,1000,random,agem,False,0.7392,0.32702063926663816,"[106, 110, 95, 91, 105, 80, 114, 87, 96, 116]",25.300493955612183,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000,1,bp,1000,random,agem,False,0.7301,0.3385963764197182,"[92, 119, 95, 92, 100, 101, 102, 101, 83, 115]",33.2133994102478,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000,2,bp,1000,random,agem,False,0.6856,0.39993911607519916,"[107, 116, 94, 112, 88, 79, 107, 95, 87, 115]",32.999600410461426,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000_w512_ce,0,bp,1000,random,agem,False,0.4626,0.6744214887053971,"[106, 110, 95, 91, 105, 80, 114, 87, 96, 116]",56.73675179481506,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000_w512_ce,1,bp,1000,random,agem,False,0.2555,0.9242470828410355,"[92, 119, 95, 92, 100, 101, 102, 101, 83, 115]",55.397786140441895,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000_w512_ce,2,bp,1000,random,agem,False,0.4076,0.738248709935209,"[107, 116, 94, 112, 88, 79, 107, 95, 87, 115]",56.72693705558777,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000_w512,0,bp,1000,random,agem,False,0.7699,0.2883515001090463,"[106, 110, 95, 91, 105, 80, 114, 87, 96, 116]",54.58553457260132,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000_w512,1,bp,1000,random,agem,False,0.7486,0.3132509767661835,"[92, 119, 95, 92, 100, 101, 102, 101, 83, 115]",53.42388939857483,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_agem_1000_w512,2,bp,1000,random,agem,False,0.6881,0.39208295602382326,"[107, 116, 94, 112, 88, 79, 107, 95, 87, 115]",54.381123304367065,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b0.5_ce,0,bp,1000,random,derpp,False,0.9222,0.0860311913770124,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",45.56174921989441,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b0.5_ce,1,bp,1000,random,derpp,False,0.9042,0.11069098359227203,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",45.639708280563354,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b0.5_ce,2,bp,1000,random,derpp,False,0.9164,0.09482586948443544,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",45.5127317905426,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b0.5_w512_ce,0,bp,1000,random,derpp,False,0.9229,0.0850650584175851,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",72.50037455558777,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b0.5_w512_ce,1,bp,1000,random,derpp,False,0.9109,0.1028719753656511,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",73.3269555568695,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b0.5_w512_ce,2,bp,1000,random,derpp,False,0.9152,0.09758924027100363,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",71.48208332061768,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b1.0_ce,0,bp,1000,random,derpp,False,0.9258,0.08145809288508893,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",42.01441693305969,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b1.0_ce,1,bp,1000,random,derpp,False,0.9087,0.10487854481157924,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",42.228439807891846,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b1.0_ce,2,bp,1000,random,derpp,False,0.9203,0.08983400888632848,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",40.99360251426697,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b1.0_w512_ce,0,bp,1000,random,derpp,False,0.9251,0.08295506180996698,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",72.75513577461243,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b1.0_w512_ce,1,bp,1000,random,derpp,False,0.9136,0.09878595948793326,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",73.24928045272827,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.01_b1.0_w512_ce,2,bp,1000,random,derpp,False,0.9204,0.0892819449702871,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",74.57560348510742,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b0.5_ce,0,bp,1000,random,derpp,False,0.926,0.080943588972683,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",41.39338231086731,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b0.5_ce,1,bp,1000,random,derpp,False,0.9136,0.09981372346159254,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",41.883538246154785,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b0.5_ce,2,bp,1000,random,derpp,False,0.9152,0.09676454188074801,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",41.37739825248718,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b0.5_w512_ce,0,bp,1000,random,derpp,False,0.9232,0.08634288457338565,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",75.46228671073914,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b0.5_w512_ce,1,bp,1000,random,derpp,False,0.9141,0.10007465347891364,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",75.52007484436035,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b0.5_w512_ce,2,bp,1000,random,derpp,False,0.9213,0.09013806893025988,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",75.37017130851746,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b1.0_ce,0,bp,1000,random,derpp,False,0.9237,0.08493443886465338,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",40.38197445869446,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b1.0_ce,1,bp,1000,random,derpp,False,0.9148,0.09739224538521807,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",40.175859212875366,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b1.0_ce,2,bp,1000,random,derpp,False,0.92,0.09012972678958922,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",39.505921602249146,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b1.0_w512_ce,0,bp,1000,random,derpp,False,0.9264,0.08171227605804415,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",73.7562141418457,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.03_b1.0_w512_ce,1,bp,1000,random,derpp,False,0.9162,0.09711621076980737,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",80.72543716430664,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
