dataset,model,test_auc,test_eer,oof_auc,oof_eer,cv_auc,cv_auc_sd,cv_eer,cv_eer_sd,fit_s
nuh,LogReg,0.6909340659340659,0.34615384615384615,0.7156084656084655,0.2962962962962963,0.7730523415977961,0.08293148453512618,0.2718787878787879,0.08314533062962493,0.014803647994995117
nuh,RandomForest,0.7891483516483516,0.23076923076923073,0.8115079365079365,0.23636363636363636,0.8445,0.06566369936265876,0.24527272727272723,0.08867799592071436,1.602024793624878
nuh,MLP-BP,0.6401098901098902,0.35714285714285715,0.7208994708994708,0.37037037037037035,0.7638154269972453,0.0825300744194351,0.28575757575757577,0.07406348256081276,0.571291446685791
nuh,MLP-PC,0.7651098901098902,0.2692307692307693,0.5886243386243387,0.4444444444444444,0.7560853994490357,0.096539799788775,0.294060606060606,0.0777955220477934,2.9536399841308594
nuh,MLP-FF,0.820054945054945,0.2692307692307693,0.7129629629629629,0.2962962962962963,0.8132699724517907,0.0822833810938804,0.2724242424242424,0.09006272683990987,1.3184821605682373
nuh,MLP-CMA-ES,0.7458791208791209,0.23076923076923073,0.7685185185185185,0.2962962962962963,0.8010358126721764,0.07289493956547143,0.26866666666666666,0.06278319860876962,5.182322978973389
nuh,TabPFN,0.7651098901098902,0.25,0.7962962962962963,0.25,0.8275426997245178,0.06438543106088677,0.25545454545454543,0.07608173073784612,3.7974069118499756
nuh,MLP-Cortex[control],0.657967032967033,0.3846153846153846,0.6547619047619048,0.40740740740740744,0.7753801652892562,0.09086421824341442,0.2858181818181818,0.08813325748195268,3.176640272140503
nuh,MLP-Cortex[full],0.7266483516483516,0.2692307692307693,0.6613756613756614,0.35714285714285715,0.7643236914600551,0.10795674928001259,0.30468347338935575,0.10572094640686637,7.679821252822876
nuh,MLP-Cortex[no_kp],0.6593406593406594,0.35714285714285715,0.6798941798941799,0.37037037037037035,0.7407024793388429,0.1056646377524869,0.30757575757575756,0.10902017909100963,7.369850397109985
nuh,MLP-Cortex[no_bound],0.6758241758241759,0.35714285714285715,0.6408730158730157,0.37037037037037035,0.7700220385674931,0.1004773203276208,0.2999511241446725,0.1051017028684486,6.677286624908447
nuh,MLP-Cortex[no_kwta],0.661401098901099,0.34615384615384615,0.6395502645502644,0.4444444444444444,0.7297024793388429,0.12622730333689156,0.3097949253028762,0.11815770610383759,4.129000663757324
nuh,MLP-Cortex[no_dale],0.6744505494505495,0.35714285714285715,0.6613756613756614,0.37037037037037035,0.7638677685950412,0.10960253886953945,0.30606060606060603,0.11227098923122057,7.342394828796387
nuh,MLP-Cortex[no_homeo],0.6620879120879122,0.3846153846153846,0.7255291005291005,0.33333333333333337,0.7936955922865013,0.1016725663134655,0.26884848484848484,0.09359769722391591,7.43804931640625
nuh,MLP-Cortex[no_kwta_homeo],0.7142857142857143,0.3076923076923077,0.7486772486772487,0.32142857142857145,0.7896033057851242,0.0981420133853967,0.26636363636363636,0.09754940355567508,3.628588914871216
nuh,MLP-Cortex[v2_full],0.7046703296703296,0.2857142857142857,0.6904761904761905,0.37037037037037035,0.788038567493113,0.10289884720865426,0.2832727272727273,0.08532709171388032,7.959081411361694
nuh,MLP-Cortex[v2_s10],0.6346153846153846,0.4318766066838047,0.6977513227513228,0.37037037037037035,0.7601019283746556,0.10144228842393659,0.29628054298642537,0.0938423388065447,7.737881422042847
nuh,MLP-Cortex[v2_s05],0.742445054945055,0.34615384615384615,0.6706349206349207,0.3602941176470588,0.7295619834710743,0.10105458152657115,0.3351171903573193,0.1027318934935221,7.730713367462158
